	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
9604203	2101002	7	{}		100		1	1	{}			{}	{}					9604204											{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9604204	2101002	7	{}		100	夜刀神十香	「唔姆~」	1	{}			{}	{}					9604205		10104	3			1				2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}				
9604205	2101002	7	{}		100		十香点了点头，接过橙汁后扭开瓶盖后继续说道。	1	{}			{}	{}					9604206		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9604206	2101002	7	{}		100	夜刀神十香	「呐呐……为什么章鱼先生身上这么多灰尘呢？」	1	{}			{}	{}					9604207		1			id_pose_10	1	id_look_11				{}											{}											{}												{}																	{}	{}					{}	{}				
9604207	2101002	7	{}		100	1	「可能是在这里放太久了吧。」	1	{}			{}	{}					9604208		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9604208	2101002	7	{}		100	夜刀神十香	「诶，没有人买么？」	1	{}			{}	{}					9604209		1			id_normal_2	1					{}											{}											{}												{}																	{}	{}					{}	{}				
9604209	2101002	7	{}		100	1	「应该是这样吧，章鱼先生的外表看起来很凶呢，所以没有人喜欢吧……」	1	{}			{}	{}					9604210		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9604210	2101002	7	{}		100	夜刀神十香	「唔姆……」	1	{}			{}	{}					9604211		1			id_normal_9	1					{}											{}											{}												{}																	{}	{}					{}	{}				
9604211	2101002	7	{}		100		十香用手轻轻拍掉章鱼玩偶身上的灰尘。	1	{}			{}	{}					9604212		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9604212	2101002	7	{}		100	夜刀神十香	「那我们就买章鱼先生吧！」	1	{}			{}	{}				1	9604213		1				1					{}											{}											{}												{}																	{}	{}					{}	{}				
9604213	2101002	7	{}		100		十香转过头，认真地说道。	1	{}			{}	{}					9703101-9703201	5	1									{}											{}											{}												{}																	{}	{}					{}	{}				
9701101	2101002	7	{}		100		继续寻找钥匙	1	{}			{}	{}					9701102	1	1									{}											{}											{}												{}																	{}	{}					{}	{}				
9701201	2101002	7	{}		100		寻找其他离开办法	1	{}			{}	{}					9701202	1	1									{}											{}											{}												{}																	{}	{}					{}	{}				
9701102	2101002	7	{}		100		我将第一把钥匙插进玩具宝箱。	1	{}			{}	{}					9701103		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9701103	2101002	7	{}		100		1	1	{}			{}	{}					9701104				3							{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9701104	2101002	7	{}		100	夜刀神十香	「看起来很容易的样子呢。」	1	{}			{}	{}					9701105		10104	3							2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}				
9701105	2101002	7	{}		100	1	「兔子先生还有其他钥匙的线索吗？」	1	{}			{}	{}					9701106		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9701106	2101002	7	{}		100	兔子玩偶	「第二把钥匙在邪恶的章鱼那里，如果没有记错，现在邪恶章鱼应该还在沉睡着。」	1	{}			{}	{}					9701107		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9701107	2101002	7	{}		100		1	1	{}			{}	{}					9701108		1									{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9701108	2101002	7	{}		100	夜刀神十香	「章鱼……」	1	{}			{}	{}					9701109		1			id_normal_9	1					{}											{}											{}												{}																	{}	{}					{}	{}				
9701109	2101002	7	{}		100	夜刀神十香	「呜……好想吃章鱼烧……」	1	{}			{}	{}					9701110		1			id_pose_12	1	id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}				
9701110	2101002	7	{}		100		看来十香饿坏了……	1	{}			{}	{}					9701111		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9701111	2101002	7	{}		100			1	{}			{}	{}					9701112				3							{}											{}											{}												{}																	{}	{}					{}	{}				
9701112	2101002	7	{}		100			1	{}			{}	{}					9701113											{}											{}											{}							scene/bg/bg_black.png	1		1.3	-1	{}																	{}	{}					{}	{}				
9701113	2101002	7	{}		100			1	{}			{}	{}					9701114											{}											{}											{}							scene/bg/bg_wanoudian2.png	10		1.5	-1	{"x":284,"y":-160}																	{}	{}					{}	{}				
9701114	2101002	7	{}		100	章鱼玩偶	「呼噜噜~~~」	1	{}			{}	{}					9701115											{}											{}											{}												{}																	{}	{}					{}	{}				
9701115	2101002	7	{}		100		储藏室内，一只巨大的章鱼玩偶正打着呼噜。	1	{}			{}	{}					9701116											{}											{}											{}												{}																	{}	{}					{}	{}				
9701116	2101002	7	{}		100		这只章鱼未免太大了吧！！	1	{}			{}	{}					9701117											{}											{}											{}												{}																	{}	{}					{}	{}				
9701117	2101002	7	{}		100		绝对、绝对不能弄醒它！	1	{}			{}	{}					9701118											{}											{}											{}												{}																	{}	{}					{}	{}				
9701118	2101002	7	{}		100		我悄悄地移动到挂着玩具钥匙的触须旁边，小心翼翼地取下钥匙。	1	{}			{}	{}					9701119											{}											{}											{}												{}																	{}	{}					{}	{}				
9701119	2101002	7	{}		100		1	1	{}			{}	{}					9701120											{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9701120	2101002	7	{}		100	夜刀神十香	「唔姆……」	1	{}			{}	{}					9701121		10104	3		id_normal_9	1				2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}				
9701121	2101002	7	{}		100	夜刀神十香	「章鱼烧！」	1	{}			{}	{}					9701122		1			id_pose_12	1	id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}				
9701122	2101002	7	{}		100		十香竟然用力抓着一根章鱼的触手，张开嘴正准备咬下去！	1	{}			{}	{}					9701123		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9701123	2101002	7	{}		100	1	「不要！」	1	{}			{}	{}					9701124		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9701124	2101002	7	{}		100	夜刀神十香	「唔，为什么不要？」	1	{}			{}	{}					9701125		1			id_pose_10	1	id_look_11				{}											{}											{}												{}																	{}	{}					{}	{}				
9701125	2101002	7	{}		100	章鱼玩偶	「呼噜噜————————————」	1	{}			{}	{}					9701126		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9701126	2101002	7	{}		100	夜刀神十香	「哼哼！才不会让你跑掉呢，章鱼烧！」	1	{}			{}	{}					9701127		1			id_pose_12	1	id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}				
9701127	2101002	7	{}		100	1	「十香，快跑啊！」	1	{}			{}	{}					9701128		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9701128	2101002	7	{}		100		十香像是听不见我的话一样，用力抱着一根章鱼触手不肯松手。	1	{}			{}	{}					9701129		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9701129	2101002	7	{}		100		1	1	{}			{}	{}					9701130				3							{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9701130	2101002	7	{}		100		十香完全不愿意离开，看来只能在章鱼玩偶被惊动之前，把三把钥匙找全……	1	{}			{}	{}					9701131											{}											{}											{}												{}																	{}	{}					{}	{}				
9701131	2101002	7	{}		100			1	{}			{}	{}					9701132											{}											{}											{}							scene/bg/bg_wanoudian2.png	1		1.3	-1	{"x":0,"y":0}																	{}	{}					{}	{}				
9701132	2101002	7	{}		100	1	「兔子先生！最后一把钥匙在哪里！」	1	{}			{}	{}					9701133											{}											{}											{}												{}																	{}	{}					{}	{}				
9701133	2101002	7	{}		100		因为担心十香的安危，我忍不住高声起来。	1	{}			{}	{}					9701134											{}											{}											{}												{}																	{}	{}					{}	{}				
9701134	2101002	7	{}		100	兔子玩偶	「其实……最后一把钥匙就在我这里。」	1	{}			{}	{}					9701135											{}											{}											{}												{}																	{}	{}					{}	{}				
9701135	2101002	7	{}		100	1	「哎……？」	1	{}			{}	{}					9701136											{}											{}											{}												{}																	{}	{}					{}	{}				
9701136	2101002	7	{}		100	兔子玩偶	「大哥哥……这么快就要离开了么？」	1	{}			{}	{}					9701137											{}											{}											{}												{}																	{}	{}					{}	{}				
9701137	2101002	7	{}		100	1	「兔子先生……」	1	{}			{}	{}					9701138											{}											{}											{}												{}																	{}	{}					{}	{}				
9701138	2101002	7	{}		100	兔子玩偶	「玩具城里的玩偶们都很寂寞……大哥哥能留下来么？」	1	{}			{}	{}				1	9701139											{}											{}											{}												{}																	{}	{}					{}	{}				
9701139	2101002	7	{}		100		兔子玩偶看起来很失落。	1	{}			{}	{}					9801101-9801201	5										{}											{}											{}												{}																	{}	{}					{}	{}				
9701202	2101002	7	{}		100	1	「兔子先生……我……」	1	{}			{}	{}					9601208											{}											{}											{}												{}																	{}	{}					{}	{}				
9702101	2101002	7	{}		100		攻击章鱼眼睛	1	{}			{}	{}					9702102	1										{}											{}											{}												{}																	{}	{}					{}	{}				
9702201	2101002	7	{}		100		攻击章鱼头部	1	{}			{}	{}					9702202	1										{}											{}											{}												{}																	{}	{}					{}	{}				
9702301	2101002	7	{}		100		攻击章鱼缎带	1	{}			{}	{}					9702302	1										{}											{}											{}												{}																	{}	{}					{}	{}				
9702102	2101002	7	{}		100	1	「——啊啊啊啊啊！」	1	{}			{}	{}					9702103											{}											{}											{}												{}																	{}	{}					{}	{}				
9702103	2101002	7	{}		100		我用尽全身的力气击打着章鱼玩偶的眼睛。	1	{}			{}	{}					9702104											{}											{}											{}												{}																	{}	{}					{}	{}				
9702104	2101002	7	{}		100	章鱼玩偶	「呼噜噜——————」	1	{}			{}	{}					9702105											{}											{}											{}												{}																	{}	{}					{}	{}				
9702105	2101002	7	{}		100		缠绕在十香身上的缎带慢慢松开，章鱼玩偶发出了痛苦的声音。 	1	{}			{}	{}					9702106											{}											{}											{}												{}																	{}	{}					{}	{}				
9702106	2101002	7	{}		100	1	「起作用了！！」	1	{}			{}	{}					9702107											{}											{}											{}												{}																	{}	{}					{}	{}				
9702107	2101002	7	{}		100		1	1	{}			{}	{}					9702108											{}											{}											{}							scene/bg/bg_wanoudian2.png	-1		1.3	-1	{}												1	1				{}	{}					{}	{}				
9702108	2101002	7	{}		100	夜刀神十香	「呼呼——终于得救了！」	1	{}			{}	{}					9702109		10104	3		id_pose_12	1	id_look_2			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}				
9702109	2101002	7	{}		100		十香狠狠地盯着章鱼玩偶，但又像是回想起刚才被支配的一幕，肩膀忍不住猛地哆嗦了一下	1	{}			{}	{}					9702110		1			id_pose_2	1	id_look_13				{}											{}											{}												{}																	{}	{}					{}	{}				
9702110	2101002	7	{}		100	1	「没事吧，十……」	1	{}			{}	{}					9702111		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9702111	2101002	7	{}		100	夜刀神十香	「 %s ！快躲开！」	1	{}			{}	{}					9702112		1			id_normal_2	1					{}											{}											{}												{}																	{}	{}					{}	{}				
9702112	2101002	7	{}		100		就在我放松警惕时，缎带如同毒蛇一般又悄悄靠了过来。	1	{}			{}	{}					9702113		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9702113	2101002	7	{}		100		1	1	{}			{}	{}					9702114				3							{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9702114	2101002	7	{}		100	1	「糟……糟糕！」	1	{}			{}	{}					9702115											{}											{}											{}												{}																	{}	{}					{}	{}				
9702115	2101002	7	{}		100		几乎没有任何的反应时间，全身就被光滑的缎带紧紧缠住了。	1	{}			{}	{}					9702116											{}											{}											{}												{}																	{}	{}					{}	{}				
9702116	2101002	7	{}		100		视线逐渐被一根根缎带遮住，十香焦急的声音也变得模糊起来。	1	{}			{}	{}					9702117											{}											{}											{}												{}																	{}	{}					{}	{}				
9702117	2101002	7	{}		100		恍惚间，我伸出手不断想要扯开紧贴在身上的缎带。	1	{}			{}	{}					9702118											{}											{}											{}												{}																	{}	{}					{}	{}				
9702118	2101002	7	{}		100		高密度的布料缠在脸上，呼吸越来越困难……	1	{}			{}	{}					9702119											{}											{}											{}												{}																	{}	{}					{}	{}				
9702119	2101002	7	{}		100			1	{}			{}	{}					9702120											{}											{}											{}							scene/bg/bg_black.png	1		1.3	-1	{"x":0,"y":0}																	{}	{}					{}	{}				
9702120	2101002	7	{}		100	夜刀神十香	「唔姆~~」	1	{}			{}	{}					9702121											{}											{}											{}												{}																	{}	{}					{}	{}				
