	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效路径	特效动画	循环特效路径	循环特效动画	1-5章增加音效与BGM	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	自动下一句	是否回忆	是否旁白	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
5003079	5003	7	{}		100	八舞夕弦	制止，请留步。	1	{}			{}	{}					5003080		10803	3		id_normal_9		0			2	{}	1.2										{}											{}													1.75		{"x":-426,"y":240}	sound/bgm/date_017.mp3	70	modle/bust/sounds/DP_05_Yuzuru14.mp3	1												{}	{}					{}	{}		{}		
5003080	5003	7	{}		100	1	啊……夕弦？！你找我有什么事吗？	1	{}			{}	{}					5003081		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003081	5003	7	{}		100	八舞夕弦	回答，是。提问，你刚刚和耶俱矢在谈什么？	1	{}			{}	{}				1	5003082-5003083		1			id_normal_10		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru15.mp3	1												{}	{}					{}	{}		{}		
5003082	5003	7	{}		100		唔，夕弦想知道吗？	1	{}			{}	{}					5003084		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003083	5003	7	{}		100		没有说什么，只是普通聊天而已啦。	1	{}			{}	{}					5003084		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003084	5003	7	{}		100	八舞夕弦	否定，我不在乎你们的谈话内容，此次前来，也有要事商谈。	1	{}			{}	{}					5003085		1			id_normal_9						{}											{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru16.mp3	1												{}	{}					{}	{}		{}		
5003085	5003	7	{}		100	1	嗯……？你也找我有事吗……	1	{}			{}	{}					5003086		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003086	5003	7	{}		100	八舞夕弦	请求，有一件想要拜托你的事情。	1	{}			{}	{}					5003087		1			id_normal_6		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru17.mp3	1												{}	{}					{}	{}		{}		
5003087	5003	7	{}		100	1	哈……是什么事呢？	1	{}			{}	{}					5003088		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003088	5003	7	{}		100	八舞夕弦	请求，这场比赛请你务必选择耶俱矢。	1	{}			{}	{}					5003089		1			id_normal_8						{}											{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru18.mp3	1												{}	{}					{}	{}		{}		
5003089	5003	7	{}		100	1	……	1	{}			{}	{}					5003090		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003090	5003	7	{}		100		无法回答夕弦。即使这样的话语，在她出现的时候我已经隐约预感到。	1	{}			{}	{}					5003091		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003091	5003	7	{}		100	八舞夕弦	提问，你反应有点奇怪。	1	{}			{}	{}				1	5003092-5003093-5003094		1			id_normal_9		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru19.mp3	1												{}	{}					{}	{}		{}		
5003092	5003	7	{}		100		要是耶俱矢赢了，你会怎么样？	1	{}			{}	{}					5003095		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003093	5003	7	{}		100		如果你会消失……也没关系吗？	1	{}			{}	{}					5003096		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003094	5003	7	{}		100		夕弦，你要放弃活下去的机会吗？	1	{}			{}	{}					5003097		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003095	5003	7	{}		100	八舞夕弦	回答，我会消失，耶俱矢会成为真正的八舞精灵。	1	{}			{}	{}					5003098		1									{}											{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru20.mp3	1												{}	{}					{}	{}		{}		
5003096	5003	7	{}		100	八舞夕弦	回答，没关系。只要耶俱矢能活下来就可以。	1	{}			{}	{}					5003098		1									{}											{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru21.mp3	1												{}	{}					{}	{}		{}		
5003097	5003	7	{}		100	八舞夕弦	回答，耶俱矢更有资格成为真正的八舞。	1	{}			{}	{}					5003098		1									{}											{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru22.mp3	1												{}	{}					{}	{}		{}		
5003098	5003	7	{}		100	1	可是……你们之前明明竞争得那么激烈啊……	1	{}			{}	{}					5003099		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003099	5003	7	{}		100	八舞夕弦	解说，耶俱矢其实很害羞，一定要挑起她的斗争心，她才能表现自己。	1	{}			{}	{}					5003100		1									{}											{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru23.mp3	1												{}	{}					{}	{}		{}		
5003100	5003	7	{}		100		夕弦突然靠近，在我耳边低声提醒……	1	{}			{}	{}					5003101		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003101	5003	7	{}		100	八舞夕弦	叮嘱，明天，选择耶俱矢，否则不幸会降临到你们朋友身上。	1	{}			{}	{}					5003102		1									{}											{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru24.mp3	1												{}	{}					{}	{}		{}		
5003102	5003	7	{}		100		 	1	{}			{}	{}					5003103				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
5003103	5003	7	{}		100		撂下一句与耶俱如出一辙的狠话后，夕弦也离开了。	1	{}			{}	{}				1		结束										{}											{}											{}															{}																{"fix":{"items":[{"id":500001,"min":165,"max":165},{"id":500005,"min":10,"max":10},{"id":500027,"min":5,"max":5},{"id":510205,"min":1,"max":1},{"id":510102,"min":1,"max":1},{"id":510152,"min":1,"max":1}]}}	{}					{}	{}		{}		
5004001	5004	7	{}		100		 	1	{}			{}	{}					5004002											{}											{}											{}										scene/bg/bg_jiudianfangjian.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
5004002	5004	7	{}		100		大概是因为心里装了太多事，连酒店准备的海鲜大餐也是味同嚼蜡。	1	{}			{}	{}					5004003											{}											{}											{}													1.75		{"x":-426,"y":0}	sound/bgm/date_005.mp3	70														{}	{}					{}	{}		{}		
5004003	5004	7	{}		100		白天耶俱矢和夕弦在海边说过的话一直萦绕在我脑海中。	1	{}			{}	{}					5004004											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004004	5004	7	{}		100	夜刀神十香	喂喂！呜、能听到我说话吗？！	1	{}			{}	{}					5004005		10106	3		id_normal_13		0			2	{}	1.2										{}											{}															{}			modle/bust/sounds/DP_05_Tohka13.mp3	1												{}	{}					{}	{}		{}		
5004005	5004	7	{}		100	1	哇啊！是、是十香啊……你什么时候进来的？	1	{}			{}	{}					5004006		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004006	5004	7	{}		100	夜刀神十香	刚刚才进来的哦，你为什么在发呆呢？	1	{}			{}	{}					5004007		1			id_normal_12		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka14.mp3	1												{}	{}					{}	{}		{}		
5004007	5004	7	{}		100	1	抱歉，稍微……在想一些事情。	1	{}			{}	{}					5004008		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004008	5004	7	{}		100	夜刀神十香	想事情，会很辛苦吗？我们一起去外面走一走好不好？	1	{}			{}	{}				1	5004009-5004010-5004011		1			id_normal_13		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka15.mp3	1												{}	{}					{}	{}		{}		
5004009	5004	7	{}		100		也好，正好我也想去透透气呢。	1	{}			{}	{}					5004012		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004010	5004	7	{}		100		不是很想去……让我安静一会儿吧。	1	{}			{}	{}					5004013		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004011	5004	7	{}		100		哎？但是这么晚了，擅自跑去外面不太好吧。	1	{}			{}	{}					5004014		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004012	5004	7	{}		100	夜刀神十香	哇啊~好呀好呀！那我们去海边吧！	1	{}			{}	{}					5004014		1			id_normal_6		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka16.mp3	1												{}	{}					{}	{}		{}		
5004013	5004	7	{}		100	夜刀神十香	呜……但是，你都发呆很久了……可以稍微陪我一会儿吗？	1	{}			{}	{}					5004014		1			id_normal_12		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka17.mp3	1												{}	{}					{}	{}		{}		
5004014	5004	7	{}		100	夜刀神十香	哎嘿~现在小珠老师不在酒店哦，我们悄悄溜出去，不会被发现的！	1	{}			{}	{}					5004015		1			id_favor2_1		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka18.mp3	1												{}	{}					{}	{}		{}		
5004015	5004	7	{}		100		 	1	{}			{}	{}					5004016				3							{}											{}											{}															{}						sound/dating_sound/dating_002.mp3						1	1			{}	{}					{}	{}		{}		
5004016	5004	7	{}		100		 	1	{}			{}	{}					5004017											{}											{}											{}										scene/bg/bg_shatan_night.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
5004017	5004	7	{}		100		夜晚的海滩很安静，远处灯塔照过来的光在海面上碎成一片一片。	1	{}			{}	{}					5004018											{}											{}											{}													1.3		{"x":0,"y":0}	sound/bgm/date_017.mp3	70														{}	{}					{}	{}		{}		
5004018	5004	7	{}		100	夜刀神十香	像是发光的蝴蝶一样呢~	1	{}			{}	{}					5004019		10106	3		id_favor2_1		0			2	{}	1.2										{}											{}															{}			modle/bust/sounds/DP_05_Tohka19.mp3	1												{}	{}					{}	{}		{}		
5004019	5004	7	{}		100	1	嗯？啊啊，是说光吗……确实很像呢。	1	{}			{}	{}					5004020		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004020	5004	7	{}		100		海风带着咸湿的气息吹来，椰树发出沙沙响声。	1	{}			{}	{}					5004021		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004021	5004	7	{}		100	夜刀神十香	呐，虽然具体情况我不是很清楚，但是……有发生什么事，对吧？	1	{}			{}	{}					5004022		1									{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka20.mp3	1												{}	{}					{}	{}		{}		
5004022	5004	7	{}		100	1	哎？十香为什么会这么想？	1	{}			{}	{}					5004023		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004023	5004	7	{}		100	夜刀神十香	唔呣……因为，总觉得你很苦恼啊！苦恼电波“哔哟哔哟”地传过来了哦！我能够接收到的哦！	1	{}			{}	{}					5004024		1									{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka21.mp3	1												{}	{}					{}	{}		{}		
5004024	5004	7	{}		100	1	噗哈哈哈~这是什么比喻啊喂！	1	{}			{}	{}					5004025		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004025	5004	7	{}		100	夜刀神十香	呜……对了！这个感觉，和你遇到狂三的那个时候非常相似呐！	1	{}			{}	{}					5004026		1			id_normal_6		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka22.mp3	1												{}	{}					{}	{}		{}		
5004026	5004	7	{}		100		时崎狂三么……但是狂三带来的苦恼和八舞姐妹带来的苦恼是完全不同的啊。	1	{}			{}	{}					5004027		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004027	5004	7	{}		100	夜刀神十香	嗯……如果什么都没有就算了，或许是我想太多了。	1	{}			{}	{}					5004028		1									{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka23.mp3	1												{}	{}					{}	{}		{}		
5004028	5004	7	{}		100	夜刀神十香	因为，我最在乎你了嘛。	1	{}			{}	{}				1	5004029-5004030-5004031		1			id_normal_6		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka24.mp3	1												{}	{}					{}	{}		{}		
5004029	5004	7	{}		100		十香，你愿意听我说吗？	1	{}			{}	{}					5004032		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004030	5004	7	{}		100		那，我可以拜托十香吗？	1	{}			{}	{}					5004033		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004031	5004	7	{}		100		我的苦恼电波，来源是八舞精灵的事情呢。	1	{}			{}	{}					5004034		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004032	5004	7	{}		100	夜刀神十香	呣！不管你说什么我都会听的。	1	{}			{}	{}					5004035		1			id_normal_6		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka25.mp3	1												{}	{}					{}	{}		{}		
5004033	5004	7	{}		100	夜刀神十香	呣～是什么事啊？说不定我有办法哦！	1	{}			{}	{}					5004035		1			id_normal_13		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka26.mp3	1												{}	{}					{}	{}		{}		
5004034	5004	7	{}		100	夜刀神十香	是夕弦和耶俱矢争吵的事吗？	1	{}			{}	{}					5004035		1			id_normal_13		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka27.mp3	1												{}	{}					{}	{}		{}		
5004035	5004	7	{}		100	1	今天白天耶俱矢和我说，让我选夕弦。	1	{}			{}	{}					5004036		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004036	5004	7	{}		100	夜刀神十香	什么？！那怎么可能！那样的话……耶俱矢就会消失啊！	1	{}			{}	{}					5004037		1			id_normal_2		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka28.mp3	1												{}	{}					{}	{}		{}		
5004037	5004	7	{}		100		十香闷头想了一会儿，突然顿悟似的点点头。	1	{}			{}	{}					5004038		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004038	5004	7	{}		100	夜刀神十香	不过啊，如果有人告诉我，我和你只能存活下来一个，我……或许也会这样做。	1	{}			{}	{}					5004039		1			id_normal_6		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka29.mp3	1												{}	{}					{}	{}		{}		
5004039	5004	7	{}		100	1	十香……别做这种傻事啊。	1	{}			{}	{}					5004040		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004040	5004	7	{}		100	夜刀神十香	呜呜，你接着说。	1	{}			{}	{}					5004041		1			id_normal_12		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka30.mp3	1												{}	{}					{}	{}		{}		
5004041	5004	7	{}		100	1	在那之后没过多久，夕弦也和我说了同样的话，让我选择耶俱矢。	1	{}			{}	{}					5004042		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004042	5004	7	{}		100	夜刀神十香	什么啊！耶俱矢和夕弦都想让对方活下去吗？	1	{}			{}	{}				1	5004043-5004044-5004045		1			id_normal_2		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka31.mp3	1												{}	{}					{}	{}		{}		
5004043	5004	7	{}		100		所以我很烦恼，不管要选谁，都是很艰难的决定。	1	{}			{}	{}					5004046		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004044	5004	7	{}		100		不知道她们到底是想做什么……	1	{}			{}	{}					5004046		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004045	5004	7	{}		100		是啊，原来她们……是这样想的啊……	1	{}			{}	{}					5004046		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5004046	5004	7	{}		100		 	1	{}			{}	{}					5004047				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
5004047	5004	7	{}		100		一阵疾风掠过脸颊，抬头一看，耶俱矢已经站在了我的面前。	1	{}			{}	{}					5004048											{}											{}											{}															{}	sound/bgm/date_012.mp3	70														{}	{}					{}	{}		{}		
